x,y,z,t
-3.04603,2.01087,0.04506,5
-3.06659,1.98443,0.043119,5.01
-3.08686,1.95773,0.041339,5.02
-3.10685,1.93078,0.0397066,5.03
-3.12656,1.90357,0.0382097,5.04
-3.14598,1.87611,0.0368371,5.05
-3.1651,1.84841,0.0355785,5.06
-3.18394,1.82045,0.0344244,5.07
-3.20249,1.79225,0.0333662,5.08
-3.22075,1.76381,0.0323957,5.09
-3.23871,1.73513,0.0315058,5.1
-3.25638,1.70622,0.0306896,5.11
-3.27375,1.67707,0.0299409,5.12
-3.29082,1.64768,0.0292541,5.13
-3.30759,1.61807,0.0286239,5.14
-3.32405,1.58823,0.0280456,5.15
-3.34022,1.55817,0.0275147,5.16
-3.35607,1.52788,0.0270273,5.17
-3.37162,1.49737,0.0265797,5.18
-3.38686,1.46665,0.0261685,5.19
-3.40179,1.43572,0.0257906,5.2
-3.4164,1.40457,0.0254432,5.21
-3.4307,1.37322,0.0251237,5.22
-3.44469,1.34166,0.0248297,5.23
-3.45835,1.30989,0.0245591,5.24
-3.4717,1.27793,0.0243099,5.25
-3.48472,1.24577,0.0240803,5.26
-3.49742,1.21341,0.0238686,5.27
-3.50979,1.18086,0.0236733,5.28
-3.52184,1.14813,0.023493,5.29
-3.53355,1.11521,0.0233265,5.3
-3.54494,1.0821,0.0231727,5.31
-3.55599,1.04882,0.0230304,5.32
-3.56671,1.01535,0.0228987,5.33
-3.57709,0.981717,0.0227767,5.34
-3.58714,0.947909,0.0226637,5.35
-3.59684,0.913934,0.0225589,5.36
-3.60621,0.879793,0.0224616,5.37
-3.61523,0.845491,0.0223713,5.38
-3.62391,0.81103,0.0222874,5.39
-3.63224,0.776413,0.0222093,5.4
-3.64023,0.741643,0.0221367,5.41
-3.64787,0.706724,0.0220691,5.42
-3.65515,0.671659,0.0220061,5.43
-3.66209,0.636451,0.0219474,5.44
-3.66867,0.601103,0.0218926,5.45
-3.6749,0.565618,0.0218416,5.46
-3.68078,0.53,0.021794,5.47
-3.6863,0.494252,0.0217495,5.48
-3.69146,0.458378,0.021708,5.49
-3.69626,0.42238,0.0216693,5.5
-3.7007,0.386262,0.0216332,5.51
-3.70478,0.350028,0.0215996,5.52
-3.70849,0.31368,0.0215682,5.53
-3.71185,0.277223,0.0215389,5.54
-3.71483,0.240659,0.0215117,5.55
-3.71746,0.203992,0.0214864,5.56
-3.71971,0.167225,0.021463,5.57
-3.7216,0.130362,0.0214412,5.58
-3.72311,0.093407,0.0214211,5.59
-3.72426,0.0563627,0.0214026,5.6
-3.72504,0.0192328,0.0213855,5.61
-3.72545,-0.0179791,0.0213699,5.62
-3.72548,-0.0552696,0.0213557,5.63
-3.72514,-0.0926349,0.0213428,5.64
-3.72443,-0.130072,0.0213313,5.65
-3.72334,-0.167576,0.0213209,5.66
-3.72188,-0.205145,0.0213118,5.67
-3.72004,-0.242774,0.0213038,5.68
-3.71783,-0.28046,0.021297,5.69
-3.71523,-0.318199,0.0212913,5.7
-3.71227,-0.355988,0.0212866,5.71
-3.70892,-0.393822,0.0212831,5.72
-3.70519,-0.431699,0.0212806,5.73
-3.70109,-0.469614,0.0212791,5.74
-3.69661,-0.507564,0.0212786,5.75
-3.69174,-0.545546,0.0212792,5.76
-3.6865,-0.583554,0.0212807,5.77
-3.68088,-0.621586,0.0212832,5.78
-3.67487,-0.659638,0.0212866,5.79
-3.66849,-0.697706,0.021291,5.8
-3.66173,-0.735787,0.0212964,5.81
-3.65458,-0.773875,0.0213027,5.82
-3.64706,-0.811969,0.0213099,5.83
-3.63915,-0.850063,0.021318,5.84
-3.63086,-0.888155,0.0213271,5.85
-3.62219,-0.92624,0.0213371,5.86
-3.61314,-0.964314,0.021348,5.87
-3.60371,-1.00237,0.0213599,5.88
-3.5939,-1.04042,0.0213726,5.89
-3.58371,-1.07844,0.0213862,5.9
-3.57314,-1.11643,0.0214008,5.91
-3.56219,-1.15439,0.0214163,5.92
-3.55086,-1.19233,0.0214327,5.93
-3.53915,-1.23022,0.02145,5.94
-3.52707,-1.26807,0.0214682,5.95
-3.5146,-1.30588,0.0214873,5.96
-3.50176,-1.34364,0.0215073,5.97
-3.48854,-1.38134,0.0215283,5.98
-3.47494,-1.41899,0.0215501,5.99
-3.46096,-1.45658,0.0215729,6
-3.44661,-1.4941,0.0215966,6.01
-3.43189,-1.53155,0.0216213,6.02
-3.41679,-1.56893,0.0216468,6.03
-3.40132,-1.60624,0.0216733,6.04
-3.38547,-1.64347,0.0217008,6.05
-3.36925,-1.68061,0.0217292,6.06
-3.35266,-1.71766,0.0217585,6.07
-3.3357,-1.75462,0.0217888,6.08
-3.31838,-1.79149,0.02182,6.09
-3.30068,-1.82826,0.0218522,6.1
-3.28262,-1.86492,0.0218853,6.11
-3.26419,-1.90148,0.0219195,6.12
-3.24539,-1.93792,0.0219546,6.13
-3.22623,-1.97425,0.0219906,6.14
-3.20671,-2.01046,0.0220277,6.15
-3.18682,-2.04655,0.0220658,6.16
-3.16658,-2.08251,0.0221048,6.17
-3.14597,-2.11834,0.0221449,6.18
-3.12501,-2.15404,0.0221859,6.19
-3.10369,-2.1896,0.022228,6.2
-3.08202,-2.22501,0.0222711,6.21
-3.05999,-2.26028,0.0223153,6.22
-3.03761,-2.2954,0.0223605,6.23
-3.01488,-2.33037,0.0224067,6.24
-2.9918,-2.36518,0.022454,6.25
-2.96838,-2.39983,0.0225023,6.26
-2.9446,-2.43431,0.0225517,6.27
-2.92049,-2.46863,0.0226022,6.28
-2.89602,-2.50277,0.0226538,6.29
-2.87122,-2.53673,0.0227065,6.3
-2.84608,-2.57052,0.0227603,6.31
-2.82061,-2.60412,0.0228151,6.32
-2.79479,-2.63754,0.0228712,6.33
-2.76865,-2.67076,0.0229283,6.34
-2.74217,-2.70379,0.0229866,6.35
-2.71536,-2.73662,0.023046,6.36
-2.68822,-2.76924,0.0231066,6.37
-2.66076,-2.80166,0.0231684,6.38
-2.63298,-2.83387,0.0232313,6.39
-2.60487,-2.86587,0.0232955,6.4
-2.57645,-2.89765,0.0233608,6.41
-2.5477,-2.92921,0.0234274,6.42
-2.51864,-2.96055,0.0234951,6.43
-2.48927,-2.99165,0.0235642,6.44
-2.45959,-3.02253,0.0236344,6.45
-2.4296,-3.05317,0.023706,6.46
-2.39931,-3.08357,0.0237788,6.47
-2.36871,-3.11373,0.0238528,6.48
-2.33781,-3.14365,0.0239282,6.49
-2.30662,-3.17331,0.0240049,6.5
-2.27512,-3.20273,0.0240829,6.51
-2.24334,-3.23188,0.0241623,6.52
-2.21126,-3.26078,0.024243,6.53
-2.17889,-3.28942,0.0243251,6.54
-2.14624,-3.31778,0.0244085,6.55
